 Startwert=           2.00000000000
          163          3.83480527696              3.83572746586
          164          3.83572746586              3.83663368393
          165          3.83663368393              3.83752422418
          166          3.83752422418              3.83839937368
          167          3.83839937368              3.83925941370
          168          3.83925941370              3.84010461986
          169          3.84010461986              3.84093526224
          170          3.84093526224              3.84175160551
          171          3.84175160551              3.84255390908
          172          3.84255390908              3.84334242720
          173          3.84334242720              3.84411740907
          174          3.84411740907              3.84487909898
          175          3.84487909898              3.84562773640
          176          3.84562773640              3.84636355609
          177          3.84636355609              3.84708678824
          178          3.84708678824              3.84779765851
          179          3.84779765851              3.84849638818
          180          3.84849638818              3.84918319424
          181          3.84918319424              3.84985828946
          182          3.84985828946              3.85052188251
          183          3.85052188251              3.85117417804
          184          3.85117417804              3.85181537675
          185          3.85181537675              3.85244567553
          186          3.85244567553              3.85306526746
