      Radius     |       Dichte
  5.1300E-01     |      0.9567120
  5.1400E-01     |      0.9565454
  5.1500E-01     |      0.9563783
  5.1600E-01     |      0.9562110
  5.1700E-01     |      0.9560434
  5.1800E-01     |      0.9558755
  5.1900E-01     |      0.9557073
  5.2000E-01     |      0.9555387
  5.2100E-01     |      0.9553699
  5.2200E-01     |      0.9552007
  5.2300E-01     |      0.9550313
  5.2400E-01     |      0.9548615
  5.2500E-01     |      0.9546914
  5.2600E-01     |      0.9545211
  5.2700E-01     |      0.9543504
  5.2800E-01     |      0.9541794
  5.2900E-01     |      0.9540081
  5.3000E-01     |      0.9538365
  5.3100E-01     |      0.9536646
  5.3200E-01     |      0.9534924
  5.3300E-01     |      0.9533199
  5.3400E-01     |      0.9531470
  5.3500E-01     |      0.9529739
  5.3600E-01     |      0.9528005
  5.3700E-01     |      0.9526267
  5.3800E-01     |      0.9524527
  5.3900E-01     |      0.9522783
  5.4000E-01     |      0.9521037
  5.4100E-01     |      0.9519287
  5.4200E-01     |      0.9517535
  5.4300E-01     |      0.9515779
  5.4400E-01     |      0.9514020
  5.4500E-01     |      0.9512259
  5.4600E-01     |      0.9510494
  5.4700E-01     |      0.9508726
  5.4800E-01     |      0.9506955
  5.4900E-01     |      0.9505181
  5.5000E-01     |      0.9503404
  5.5100E-01     |      0.9501624
  5.5200E-01     |      0.9499841
  5.5300E-01     |      0.9498055
  5.5400E-01     |      0.9496266
  5.5500E-01     |      0.9494474
  5.5600E-01     |      0.9492679
  5.5700E-01     |      0.9490881
  5.5800E-01     |      0.9489079
  5.5900E-01     |      0.9487275
  5.6000E-01     |      0.9485468
  5.6100E-01     |      0.9483658
  5.6200E-01     |      0.9481844
  5.6300E-01     |      0.9480028
  5.6400E-01     |      0.9478209
  5.6500E-01     |      0.9476386
  5.6600E-01     |      0.9474561
  5.6700E-01     |      0.9472732
  5.6800E-01     |      0.9470901
  5.6900E-01     |      0.9469066
  5.7000E-01     |      0.9467229
  5.7100E-01     |      0.9465388
  5.7200E-01     |      0.9463545
  5.7300E-01     |      0.9461698
  5.7400E-01     |      0.9459849
  5.7500E-01     |      0.9457996
  5.7600E-01     |      0.9456141
  5.7700E-01     |      0.9454282
  5.7800E-01     |      0.9452421
  5.7900E-01     |      0.9450556
