      Radius     |       Dichte       |       Masse
  1.9800E-02     |      0.9999347     |   2.5874E-06
  1.9900E-02     |      0.9999340     |   2.6268E-06
  2.0000E-02     |      0.9999333     |   2.6666E-06
  2.0100E-02     |      0.9999327     |   2.7068E-06
  2.0200E-02     |      0.9999320     |   2.7474E-06
  2.0300E-02     |      0.9999313     |   2.7884E-06
  2.0400E-02     |      0.9999306     |   2.8298E-06
  2.0500E-02     |      0.9999300     |   2.8716E-06
  2.0600E-02     |      0.9999293     |   2.9138E-06
  2.0700E-02     |      0.9999286     |   2.9565E-06
  2.0800E-02     |      0.9999279     |   2.9995E-06
  2.0900E-02     |      0.9999272     |   3.0430E-06
  2.1000E-02     |      0.9999265     |   3.0869E-06
  2.1100E-02     |      0.9999258     |   3.1312E-06
  2.1200E-02     |      0.9999251     |   3.1759E-06
  2.1300E-02     |      0.9999244     |   3.2211E-06
  2.1400E-02     |      0.9999237     |   3.2666E-06
  2.1500E-02     |      0.9999230     |   3.3126E-06
  2.1600E-02     |      0.9999222     |   3.3591E-06
  2.1700E-02     |      0.9999215     |   3.4059E-06
  2.1800E-02     |      0.9999208     |   3.4532E-06
  2.1900E-02     |      0.9999201     |   3.5010E-06
  2.2000E-02     |      0.9999193     |   3.5492E-06
  2.2100E-02     |      0.9999186     |   3.5978E-06
  2.2200E-02     |      0.9999179     |   3.6468E-06
  2.2300E-02     |      0.9999171     |   3.6963E-06
  2.2400E-02     |      0.9999164     |   3.7463E-06
  2.2500E-02     |      0.9999156     |   3.7967E-06
  2.2600E-02     |      0.9999149     |   3.8475E-06
  2.2700E-02     |      0.9999141     |   3.8988E-06
  2.2800E-02     |      0.9999134     |   3.9506E-06
  2.2900E-02     |      0.9999126     |   4.0028E-06
  2.3000E-02     |      0.9999118     |   4.0555E-06
  2.3100E-02     |      0.9999111     |   4.1086E-06
  2.3200E-02     |      0.9999103     |   4.1622E-06
  2.3300E-02     |      0.9999095     |   4.2162E-06
  2.3400E-02     |      0.9999087     |   4.2707E-06
  2.3500E-02     |      0.9999080     |   4.3257E-06
  2.3600E-02     |      0.9999072     |   4.3812E-06
  2.3700E-02     |      0.9999064     |   4.4371E-06
  2.3800E-02     |      0.9999056     |   4.4935E-06
  2.3900E-02     |      0.9999048     |   4.5504E-06
  2.4000E-02     |      0.9999040     |   4.6077E-06
  2.4100E-02     |      0.9999032     |   4.6656E-06
  2.4200E-02     |      0.9999024     |   4.7239E-06
  2.4300E-02     |      0.9999016     |   4.7827E-06
  2.4400E-02     |      0.9999008     |   4.8420E-06
  2.4500E-02     |      0.9999000     |   4.9017E-06
  2.4600E-02     |      0.9998991     |   4.9620E-06
  2.4700E-02     |      0.9998983     |   5.0228E-06
  2.4800E-02     |      0.9998975     |   5.0840E-06
  2.4900E-02     |      0.9998967     |   5.1458E-06
  2.5000E-02     |      0.9998958     |   5.2080E-06
  2.5100E-02     |      0.9998950     |   5.2708E-06
  2.5200E-02     |      0.9998942     |   5.3340E-06
  2.5300E-02     |      0.9998933     |   5.3977E-06
  2.5400E-02     |      0.9998925     |   5.4620E-06
  2.5500E-02     |      0.9998916     |   5.5268E-06
  2.5600E-02     |      0.9998908     |   5.5920E-06
  2.5700E-02     |      0.9998899     |   5.6578E-06
  2.5800E-02     |      0.9998891     |   5.7241E-06
  2.5900E-02     |      0.9998882     |   5.7909E-06
  2.6000E-02     |      0.9998873     |   5.8583E-06
  2.6100E-02     |      0.9998865     |   5.9261E-06
  2.6200E-02     |      0.9998856     |   5.9945E-06
  2.6300E-02     |      0.9998847     |   6.0634E-06
  2.6400E-02     |      0.9998838     |   6.1328E-06
  2.6500E-02     |      0.9998830     |   6.2028E-06
  2.6600E-02     |      0.9998821     |   6.2733E-06
  2.6700E-02     |      0.9998812     |   6.3443E-06
  2.6800E-02     |      0.9998803     |   6.4158E-06
  2.6900E-02     |      0.9998794     |   6.4879E-06
  2.7000E-02     |      0.9998785     |   6.5605E-06
  2.7100E-02     |      0.9998776     |   6.6337E-06
  2.7200E-02     |      0.9998767     |   6.7074E-06
  2.7300E-02     |      0.9998758     |   6.7816E-06
  2.7400E-02     |      0.9998749     |   6.8564E-06
  2.7500E-02     |      0.9998740     |   6.9318E-06
  2.7600E-02     |      0.9998730     |   7.0077E-06
  2.7700E-02     |      0.9998721     |   7.0841E-06
  2.7800E-02     |      0.9998712     |   7.1611E-06
  2.7900E-02     |      0.9998703     |   7.2386E-06
  2.8000E-02     |      0.9998693     |   7.3168E-06
  2.8100E-02     |      0.9998684     |   7.3954E-06
  2.8200E-02     |      0.9998675     |   7.4747E-06
