      Radius     |       Dichte
  2.5800E+00     |      0.2064089
  2.5900E+00     |      0.2023337
  2.6000E+00     |      0.1982698
  2.6100E+00     |      0.1942172
  2.6200E+00     |      0.1901762
  2.6300E+00     |      0.1861470
  2.6400E+00     |      0.1821298
  2.6500E+00     |      0.1781247
  2.6600E+00     |      0.1741321
  2.6700E+00     |      0.1701519
  2.6800E+00     |      0.1661846
  2.6900E+00     |      0.1622301
  2.7000E+00     |      0.1582888
  2.7100E+00     |      0.1543609
  2.7200E+00     |      0.1504464
  2.7300E+00     |      0.1465456
  2.7400E+00     |      0.1426587
  2.7500E+00     |      0.1387858
  2.7600E+00     |      0.1349272
  2.7700E+00     |      0.1310830
  2.7800E+00     |      0.1272534
  2.7900E+00     |      0.1234385
  2.8000E+00     |      0.1196386
  2.8100E+00     |      0.1158539
  2.8200E+00     |      0.1120844
  2.8300E+00     |      0.1083304
  2.8400E+00     |      0.1045920
  2.8500E+00     |      0.1008695
  2.8600E+00     |      0.0971629
  2.8700E+00     |      0.0934725
  2.8800E+00     |      0.0897984
  2.8900E+00     |      0.0861408
  2.9000E+00     |      0.0824998
  2.9100E+00     |      0.0788756
  2.9200E+00     |      0.0752684
  2.9300E+00     |      0.0716783
  2.9400E+00     |      0.0681054
  2.9500E+00     |      0.0645500
  2.9600E+00     |      0.0610123
  2.9700E+00     |      0.0574922
  2.9800E+00     |      0.0539900
  2.9900E+00     |      0.0505059
  3.0000E+00     |      0.0470400
  3.0100E+00     |      0.0435924
  3.0200E+00     |      0.0401633
  3.0300E+00     |      0.0367529
  3.0400E+00     |      0.0333612
  3.0500E+00     |      0.0299884
  3.0600E+00     |      0.0266347
  3.0700E+00     |      0.0233002
  3.0800E+00     |      0.0199850
  3.0900E+00     |      0.0166892
  3.1000E+00     |      0.0134131
  3.1100E+00     |      0.0101567
  3.1200E+00     |      0.0069202
  3.1300E+00     |      0.0037036
  3.1400E+00     |      0.0005072
